x,y,r,c
0,0,2,black
5,5,8,white
10,5,8,white
15,5,8,white
20,5,8,white
25,5,8,red
30,5,8,red
35,5,8,red
40,5,8,red
45,5,8,red
50,5,8,white
55,5,8,white
60,5,8,white
65,5,8,white
70,5,8,white
5,10,8,white
10,10,8,white
15,10,8,white
20,10,8,red
25,10,8,red
30,10,8,red
35,10,8,red
40,10,8,red
45,10,8,red
50,10,8,red
55,10,8,red
60,10,8,red
65,10,8,white
70,10,8,white
5,15,8,white
10,15,8,white
15,15,8,white
20,15,8,green
25,15,8,green
30,15,8,green
35,15,8,yellow
40,15,8,yellow
45,15,8,green
50,15,8,yellow
55,15,8,white
60,15,8,white
65,15,8,white
70,15,8,white
5,20,8,white
10,20,8,white
15,20,8,green
20,20,8,yellow
25,20,8,green
30,20,8,yellow
35,20,8,yellow
40,20,8,yellow
45,20,8,green
50,20,8,yellow
55,20,8,yellow
60,20,8,yellow
65,20,8,white
70,20,8,white
5,25,8,white
10,25,8,white
15,25,8,green
20,25,8,yellow
25,25,8,green
30,25,8,green
35,25,8,yellow
40,25,8,yellow
45,25,8,yellow
50,25,8,green
55,25,8,yellow
60,25,8,yellow
65,25,8,yellow
70,25,8,white
5,30,8,white
10,30,8,white
15,30,8,green
20,30,8,green
25,30,8,yellow
30,30,8,yellow
35,30,8,yellow
40,30,8,yellow
45,30,8,green
50,30,8,green
55,30,8,green
60,30,8,green
65,30,8,white
70,30,8,white
5,35,8,white
10,35,8,white
15,35,8,white
20,35,8,white
25,35,8,yellow
30,35,8,yellow
35,35,8,yellow
40,35,8,yellow
45,35,8,yellow
50,35,8,yellow
55,35,8,yellow
60,35,8,white
65,35,8,white
70,35,8,white
5,40,8,white
10,40,8,white
15,40,8,white
20,40,8,green
25,40,8,green
30,40,8,red
35,40,8,green
40,40,8,green
45,40,8,green
50,40,8,white
55,40,8,white
60,40,8,white
65,40,8,white
70,40,8,white
5,45,8,white
10,45,8,white
15,45,8,green
20,45,8,green
25,45,8,green
30,45,8,red
35,45,8,green
40,45,8,green
45,45,8,red
50,45,8,green
55,45,8,green
60,45,8,green
65,45,8,white
70,45,8,white
5,50,8,white
10,50,8,green
15,50,8,green
20,50,8,green
25,50,8,green
30,50,8,red
35,50,8,red
40,50,8,red
45,50,8,red
50,50,8,green
55,50,8,green
60,50,8,green
65,50,8,green
70,50,8,white
5,55,8,white
10,55,8,yellow
15,55,8,yellow
20,55,8,green
25,55,8,red
30,55,8,yellow
35,55,8,red
40,55,8,red
45,55,8,yellow
50,55,8,red
55,55,8,green
60,55,8,yellow
65,55,8,yellow
70,55,8,white
5,60,8,white
10,60,8,yellow
15,60,8,yellow
20,60,8,yellow
25,60,8,red
30,60,8,red
35,60,8,red
40,60,8,red
45,60,8,red
50,60,8,red
55,60,8,yellow
60,60,8,yellow
65,60,8,yellow
70,60,8,white
5,65,8,white
10,65,8,yellow
15,65,8,yellow
20,65,8,red
25,65,8,red
30,65,8,red
35,65,8,red
40,65,8,red
45,65,8,red
50,65,8,red
55,65,8,red
60,65,8,yellow
65,65,8,yellow
70,65,8,white
5,70,8,white
10,70,8,white
15,70,8,white
20,70,8,red
25,70,8,red
30,70,8,red
35,70,8,white
40,70,8,white
45,70,8,red
50,70,8,red
55,70,8,red
60,70,8,white
65,70,8,white
70,70,8,white
5,75,8,white
10,75,8,white
15,75,8,green
20,75,8,green
25,75,8,green
30,75,8,white
35,75,8,white
40,75,8,white
45,75,8,white
50,75,8,green
55,75,8,green
60,75,8,green
65,75,8,white
70,75,8,white
5,80,8,white
10,80,8,green
15,80,8,green
20,80,8,green
25,80,8,green
30,80,8,white
35,80,8,white
40,80,8,white
45,80,8,white
50,80,8,green
55,80,8,green
60,80,8,green
65,80,8,green
70,80,8,white
